dos	kettő
observació	megfigyelés
generacions	nemzedékek
alliberament	felszabadul
matemàtic	matematikus
zsolt	zsolt
aeroport	repülőtér
presentar	bemutatni
moviment	mozgalom
planeta	bolygó
peixos	halak
anglès	angol
tecnologia	technológia
entendre	érteni
sistemàtic	rendszeres
1936	1936
francès	francia
amèrica	amerika
internet	internet
sud-oest	délnyugat
artístic	művészeti
dinàmica	dinamika
jardí	kert
gas	gáz
encara	még
física	fizika
superfície	felszín
energia	energia
1934	1934
alemanya	németország
rodríguez	rodriguez
procediments	eljárások
potencial	potenciális
morir	meghalni
desenvolupador	fejlesztő
dissenyat	tervezett
serralada	hegység
tardor	ősz
elegant	elegáns
lituània	litvánia
descobriment	felfedezés
ciència	tudomány
pdf	pdf
declaració	nyilatkozat
ti	ti
wi-fi	wi-fi
conflictes	konfliktusok
francesc	ferenc
motors	motorok
províncies	tartományok
tard	késő
arpad	árpád
febrer	február
aventura	kaland
pobre	szegény
contínuament	folyamatosan
econòmic	gazdaságos
paraules	szavak
princesa	hercegnő
esposa	feleség
1879	1879
grec	görög
persona	személy
potser	talán
futbol	labdarúgás
platja	tengerpart
molècules	molekulák
sóc	vagyok
europeu	európai
mercats	piacok
1965	1965
aprendre	tanulni
1913	1913
compondre	komponálni
igualtat	egyenlőség
ajuda	segítség
arxiu	levéltár
síntesi	szintézis
animals	állatok
explicar	magyarázni
1884	1884
cercle	kör
víctimes	áldozatok
llum	fény
llunyà	távol
berenguer	berengár
palma	pálma
exclusivament	kizárólag
fabricant	gyártó
aventures	kalandok
etiqueta	etikett
debut	debütálás
hitler	hitler
v	v
crítiques	kritikák
lector	olvasó
futur	jövő
sòlid	szilárd
perfectament	tökéletesen
manchester	manchester
brillant	fényes
operacions	műveletek
qualitat	minőség
escriptura	írás
pedra	kő
pàtria	haza
1899	1899
treballava	dolgozott
barreja	keverék
popularitat	népszerűség
proteïna	fehérje
califòrnia	kalifornia
voluntat	akarat
69	69
mexicà	mexikói
győr	győr
taronja	narancs
lògica	logika
problema	probléma
paràmetres	paraméterek
insectes	rovarok
eduard	eduárd
catedral	katedrális
guerra	háború
escultura	szobor
kolozsvár	kolozsvár
edició	kiadás
documental	dokumentumfilm
riquesa	gazdagság
flor	virág
escultor	szobrász
ampliació	bővítés
ment	ment
darrer	utolsó
concret	konkrét
gran	nagy
1895	1895
proteïnes	fehérjék
millors	legjobbak
màxima	maxima
densitat	sűrűség
ensenyar	oktat
generació	nemzedék
roma	roma
alçada	magasság
@	@
trobem	találkozunk
1978	1978
noble	nemes
noblesa	nemesség
parisenc	párizsi
històric	történelmi
1939	1939
connexió	kapcsolat
barri	városrész
dificultats	nehézségek
comprovació	ellenőrzés
expedició	expedíció
sorprenent	meglepő
camp	tábor
mallorca	mallorca
fundació	alapítvány
madrid	madrid
cultural	kulturális
medieval	középkori
manuel	mánuel
cicle	ciklus
sabadell	sabadell
figueres	figueres
identificador	azonosító
veszprém	veszprém
resultats	eredmények
aspecte	aspektus
elèctric	elektromos
prova	próba
canal	csatorna
enciclopèdia	enciklopédia
suposar	feltételezni
concentració	koncentráció
hem	hem
sud-àfrica	dél-afrika
bandera	zászló
paisatges	tájképek
conduir	vezetni
estratègia	stratégia
emissió	kibocsátás
bíblia	biblia
interès	érdeklődés
deixem	hagyjuk
estació	állomás
llista	lista
teories	teóriák
1901	1901
nomenat	kinevezett
emprenedor	vállalkozó
cançons	dalok
química	kémia
fals	hamis
hotel	szálloda
plaça	tér
continuava	folytatta
mesurar	mérni
escriptora	írónő
comentaris	kommentárok
doble	dupla
cantant	énekes
connecta	kapcsolódik
1975	1975
xinès	kínai
universal	univerzális
turquia	törökország
diputats	képviselők
bàsic	alapvető
unitats	egységek
poema	költemény
partits	pártok
1985	1985
jutge	bíró
exèrcit	hadsereg
existeixen	léteznek
pobles	falvak
composició	kompozíció
2004	2004
1989	1989
entrenador	edző
entrevista	interjú
estructura	szerkezet
pèrdua	veszteség
cursos	tanfolyamok
experiències	tapasztalatok
fosc	sötét
retornar	visszatérni
client	ügyfél
ofensiva	offenzíva
atlàntic	atlanti
dia	nap
xocolata	csokoládé
hal	hal
oferta	ajánlat
silenci	csend
efecte	hatás
1890	1890
espectadors	nézők
solitari	magányos
comarca	járás
llibre	könyv
mental	mentális
característicament	jellemzően
aspectes	aspektusok
refugiats	menekültek
frase	mondat
escriptor	író
propietari	tulajdonos
traducció	fordítás
1896	1896
euro	euró
attila	attila
montserrat	montserrat
escala	lépcső
carrers	utcák
pistes	sípályák
eslovàquia	szlovákia
coordenades	koordináták
columna	oszlop
complicat	bonyolult
granollers	granollers
dibuixos	rajzok
pi	pi
republicà	republikánus
juliol	július
catalans	katalánok
déus	istenek
1902	1902
1944	1944
tallers	műhelyek
participant	résztvevő
amiga	barátnő
competicions	versenyek
carrera	pályafutás
canviant	változó
situació	helyzet
pobresa	szegénység
llegir	olvasni
conceptes	fogalmak
vendre	eladni
procediment	eljárás
línies	vonalak
preparació	előkészítés
hidrogen	hidrogén
segell	pecsét
dona	asszony
