hagyni	deixar
nyelvészet	lingüística
autópálya	autopista
pályázatok	concursos
idegenek	estrangers
véglegesen	definitivament
álom	somni
szürke	gris
kizárólag	exclusivament
kilométer	quilòmetre
pedagógusok	pedagogs
távol	llunyà
ana	ana
cent	cent
információ	informació
nucleus	nucli
hadsereg	exèrcit
technológiai	tecnològic
témák	temes
harmadikok	tercers
o	o
innováció	innovació
szlovákia	eslovàquia
stratégia	estratègia
kulturális	cultural
sony	sony
tulajdonos	propietari
jellemzően	característicament
évtizedek	dècades
1910	1910
veszíteni	perdre
aláírás	signatura
modul	mòdul
folyó	riu
autonómia	autonomia
róbert	robert
korábban	abans
h	h
dollár	dòlar
muzulmánok	musulmans
párbeszéd	diàleg
milánó	milà
1976	1976
határ	frontera
mária	maria
diego	diego
1888	1888
1885	1885
belgium	bèlgica
friedrich	friedrich
iskolák	escoles
1936	1936
üldözés	persecució
feladatok	tasques
tudomány	ciència
recepció	recepció
rizs	arròs
elnökség	presidència
belső	interior
kerületek	barris
úr	senyor
fejleszteni	desenvolupar
jelenet	escena
játszani	jugar
millió	milió
ady	ady
festészet	pintura
angol	anglès
3000	3000
árnyék	ombra
szervezetek	organitzacions
mánuel	manuel
kutatás	investigació
ügynök	agent
kérdés	qüestió
integrál	integral
nehézségek	dificultats
nukleáris	nuclear
ritmus	ritme
1890	1890
lengyel	polonès
1964	1964
formátumok	formats
palesztina	palestina
figueres	figueres
jármű	vehicle
betegség	malaltia
zoltán	zoltán
f	f
nyitott	obert
1897	1897
független	independent
képzés	formació
százalék	percentatge
veszélyes	perillós
hagyományok	tradicions
automatikusan	automàticament
sziget	illa
meglepő	sorprenent
konfliktusok	conflictes
paktum	pacte
promóció	promoció
fenyegetés	amenaça
zöld	verd
mitológia	mitologia
szótár	diccionari
könnyű	lleuger
1937	1937
extra	extra
1966	1966
egyiptom	egipte
infrastruktúra	infraestructura
fesztivál	festa
roma	roma
front	front
maradványok	restes
intézmény	institució
adaptáció	adaptació
golf	golf
szálloda	hotel
folytonosság	continuïtat
könyvtár	biblioteca
rezervátum	reserva
1902	1902
gabriella	gabriella
legalább	almenys
sajt	formatge
szavazás	votació
ausztrália	austràlia
nővér	germana
észak-amerikai	nord-americà
raktár	magatzem
girona	girona
hamis	fals
csupán	només
digitális	digital
dokumentáció	documentació
szükséges	necessari
bartók	bartók
szakértő	expert
szépség	bellesa
megosztani	compartir
giuseppe	giuseppe
nemzedékek	generacions
pdf	pdf
fizikus	físic
richárd	ricard
szervezni	organitzar
tájképek	paisatges
magányos	solitari
fekete	negre
venezuela	veneçuela
norma	norma
érsek	arquebisbe
aquitánia	aquitània
aszteroida	asteroide
1918	1918
cézár	cèsar
katona	soldat
létrehozás	creació
impulzus	impuls
hivatalosan	oficialment
ellenállás	resistència
perpignan	perpinyà
végrehajtó	executiu
1943	1943
művészek	artistes
jános	joan
líceum	liceu
frekvencia	freqüència
mondatok	frases
hercegnő	princesa
helyek	llocs
állomások	estacions
elnöki	presidential
hatodik	sisè
mértékek	mesures
október	octubre
tényezők	factors
horvátország	croàcia
professzorok	professors
mediterrán	mediterrani
erdő	bosc
érintett	afectat
svédország	suècia
repülőtér	aeroport
barlang	cova
formátum	format
binomiális	binomial
gyors	ràpid
normatíva	normativa
bonyolult	complicat
hős	heroi
lehetetlen	impossible
aspektus	aspecte
dél-afrika	sud-àfrica
2013	2013
fokozatosan	gradualment
kezdeményez	iniciativa
betegségek	malalties
védettség	protecció
gőz	vapor
utolsó	darrer
késő	tard
narancs	taronja
kritérium	criteri
2000	2000
komolyan	seriosament
felhasználó	usuari
kód	codi
konstantinápoly	constantinoble
szint	nivell
érdekes	interessant
klik	clic
baloldal	esquerra
negyven	quaranta
projekt	projecte
létezik	existeix
bányák	mines
magasság	alçada
lázár	lazar
labdarúgás	futbol
szimbólum	símbol
super	super
március	març
áldozat	víctima
hozzáadni	afegir
bemutatni	presentar
vasút	ferrocarril
lesz	serà
technológia	tecnologia
felsőbb	superior
kifejezetten	específicament
1-2	1-2
szín	color
klíma	clima
komposzt	compost
feta	feta
felelősök	responsables
mechanika	mecànica
palota	palau
látomás	visió
szálláshely	allotjament
gábor	gabor
ignác	ignasi
szofi	sofia
koncentráció	concentració
kerékpáros	ciclista
1990	1990
teóriák	teories
győzelmek	victòries
köszönöm	gràcies
nehéz	difícil
növény	planta
kontinens	continent
építeni	construir
opera	òpera
reprodukció	reproducció
trianoni	trianon
esztergom	esztergom
gazdaságos	econòmic
istenek	déus
szakemberek	professionals
adományozó	donant
stadion	estadi
interjú	entrevista
1945	1945
programozás	programació
1925	1925
antal	antal
karakterek	caràcters
69	69
bajnokság	campionat
vonalak	línies
mágia	màgia
oktat	ensenyar
befektetés	inversió
1977	1977
hajózás	navegació
bevezetés	introducció
habsburg	habsburg
majdnem	gairebé
tábornokok	generals
formális	formal
koordináták	coordenades
hagyjuk	deixem
valencia	valència
albert	albert
ha	ha
klubok	clubs
feltételezni	suposar
1953	1953
perzsa	persa
alkotmány	constitució
2003	2003
dinamikus	dinàmic
