планета	planeta
изчезнал	desaparegut
блок	bloc
мъжки	masculí
баня	banya
-10,5	-10,5
парохия	parròquia
локализация	localització
съответстващ	corresponent
1976	1976
torre	torre
окончателно	definitivament
преса	premsa
базова	bàsica
комуникация	comunicació
мария	maria
българи	búlgars
ернест	ernest
съвет	consell
председателство	presidència
1860	1860
федерация	federació
posterior	posterior
фрак	frac
произведен	produït
кастел	castell
сериозно	seriosament
isabel	isabel
северноамерикански	nord-americà
1999	1999
билбао	bilbao
канал	canal
1950	1950
достъпни	accesibles
джовани	giovanni
важност	importància
механизми	mecanismes
служител	servidor
isbn	isbn
анимация	animació
латвия	letònia
фасада	façana
дук	duc
sudan	sudan
sugar	sucre
акция	acció
1930	1930
gent	gent
загуба	pèrdua
wifi	wifi
интерес	interès
трудност	dificultat
музика	música
1913	1913
han	han
концерти	concerts
индонезия	indonèsia
влияние	influència
моменти	moments
виена	viena
аспекти	aspectes
океан	oceà
необходимост	necessitat
светец	sant
капела	capella
спалня	dormitori
валентин	valentí
отворена	oberta
инфраструктура	infraestructura
италия	itàlia
христос	crist
сицилия	sicília
дебютира	debutar
дневна	diürna
лекари	metges
линия	línia
условие	condició
артур	arthur
колона	columna
препоръчва	recomanar
мисли	pensaments
2002	2002
перпинян	perpinyà
резолюция	resolució
морски	marí
бъдеще	futur
танци	danses
чужденец	estranger
качество	qualitat
1910	1910
полония	polònia
иванов	ivanov
период	període
европа	europa
студенти	estudiants
дъщеря	filla
структура	estructura
sierra	sierra
документален	documental
1979	1979
уникален	únic
система	sistema
администратор	administrador
творец	creador
голф	golf
историк	historiador
евро	euro
иванова	ivanova
карлес	carles
дебат	debat
ключ	clau
скулптура	escultura
молекули	molècules
опасност	perill
обикновено	habitualment
мост	pont
велосипедист	ciclista
репертоар	repertori
експресия	expressió
франческо	francesc
произведени	produïdes
1894	1894
бунт	revolta
кучета	gossos
vers	vers
палестина	palestina
случайно	casualment
сърбия	sèrbia
1917	1917
планини	muntanyes
различия	diferències
лектор	lector
ресторант	restaurant
страница	pàgina
филипини	filipines
para	para
rus	rus
1986	1986
ориентация	orientació
градове	ciutats
аромат	aroma
разград	razgrad
губернатор	governador
познат	conegut
помагам	ajudar
томас	tomàs
реал	real
депутати	diputats
системи	sistemes
цезар	cèsar
собственици	propietaris
футбол	futbol
информация	informació
очи	ulls
индия	índia
литература	literatura
автори	autors
кардона	cardona
имигранти	immigrants
март	març
свободни	lliures
визита	visita
дървета	arbres
al	al
процедури	procediments
деноминация	denominació
болести	malalties
1957	1957
детска	infantil
кино	cinema
блясък	brillant
композиции	composicions
генерация	generació
оставен	deixat
мляко	llet
млад	jove
via	via
жив	viu
копия	còpia
des	des
атмосфера	atmosfera
личен	personal
политика	política
рекорд	rècord
затварям	tancar
белград	belgrad
кафе	cafè
строеж	construcció
армия	exèrcit
йоаким	joaquim
математик	matemàtic
водород	hidrogen
собственик	propietari
1985	1985
поезия	poesia
услуги	serveis
предишни	anteriors
граници	fronteres
генерации	generacions
граница	frontera
идентичност	identitat
мобилност	mobilitat
давид	david
нидерландски	neerlandès
врати	portes
детайли	detalls
субстанции	substàncies
стойност	valor
els	els
редукция	reducció
династия	dinastia
италианците	italians
1961	1961
1952	1952
пи	pi
преслав	preslav
rival	rival
безплатна	gratuïta
abu	abu
композиция	composició
племе	tribu
1882	1882
архив	arxiu
вечер	vespre
дама	dama
портал	portal
