selecció	селекция
edt	edt
experts	експерти
sudan	sudan
preparació	подготовка
pluja	дъжд
aventura	авантюра
1934	1934
inclòs	включен
color	цвет
serra	serra
fundador	основател
dinàmica	динамика
intervenció	интервенция
taxi	такси
presència	присъствие
rarament	рядко
enginyeria	инженерство
organisme	организъм
bronze	бронз
valor	стойност
unió	уния
crític	критик
2016	2016
escultor	скулптор
pacífic	pacific
òrgan	орган
1892	1892
ataca	атака
industrial	индустриален
1911	1911
pilot	пилот
estils	стилове
anglès	английски
finestres	прозорци
ex	ex
revolta	бунт
1918	1918
cristians	християни
màquines	машини
illa	остров
vers	vers
catalans	каталани
macedònia	македония
comissió	комисия
financera	финансова
premis	награди
sèrie	серия
repressió	репресия
nord	север
generació	генерация
brigada	бригада
atlàntic	атлантически
twitter	twitter
xarxa	мрежа
exterior	външен
interessant	интересен
usuari	потребител
trobada	среща
teva	тева
lleó	лъв
unitats	единици
triomf	триумф
isbn	isbn
1916	1916
esquís	ски
moneda	монета
discurs	дискурс
confiança	доверие
absis	апсида
universal	универсален
albània	албания
característiques	характеристики
regions	региони
gòtic	готически
positiu	положителен
difícil	трудно
realitzar	реализира
drama	драма
euro	евро
detall	детайл
club	клуб
virus	вирус
vicepresident	вицепрезидент
refugi	убежище
llarg	дълъг
únicament	единствено
multimèdia	мултимедия
filla	дъщеря
tesi	теза
veneçuela	венецуела
biblioteca	библиотека
canal	канал
cuina	кухня
teoria	теория
secundària	вторична
taller	работилница
desaparició	изчезване
paquet	пакет
1973	1973
època	епоха
ensalada	салата
matemàtic	математик
constantinoble	константинопол
clients	клиенти
moments	моменти
und	und
repertori	репертоар
mètode	метод
recepta	рецепта
normes	норми
1896	1896
lliure	свободен
danubi	дунав
variant	вариант
iniciativa	инициатива
camins	пътища
comandant	командант
gas	газ
te	те
1909	1909
llistes	списъци
tribus	tribus
protagonista	протагонист
escollida	избрана
electrònica	електронна
divisió	разделение
boca	уста
restauració	възстановяване
tradició	традиция
aeroport	летище
soler	солер
família	семейство
ekaterina	екатерина
territoris	територии
pintures	картини
aus	aus
modalitat	модалност
agradable	приятен
zombi	зомби
símptomes	симптоми
legislació	законодателство
propietaris	собственици
idees	идеи
apartament	апартамент
1985	1985
joana	джоана
george	джордж
mal	mal
110	110
medalles	медали
1986	1986
sectors	сектори
creació	създаване
circumstàncies	обстоятелства
valència	валенсия
2003	2003
factor	фактор
2017	2017
clàssica	класическа
línia	линия
aparició	появяване
ninguna	никаква
cosmètica	козметика
emperador	император
moviments	движения
religió	религия
1913	1913
consellers	съветници
smetana	сметана
revolució	революция
entre	entre
urbà	градски
disseny	дизайн
culte	култ
reforma	реформа
síntesi	синтез
expansió	експанзия
gimnàs	гимназия
agència	агенция
ciutadà	гражданин
jordi	джорди
ta	та
feta	фета
organitzacions	организации
difusió	дифузия
materials	материали
ajudar	помагам
pacients	пациенти
britànics	британците
vi	ви
mitologia	митология
competència	конкуренция
sol	слънце
corresponent	съответстващ
substàncies	субстанции
pilar	пилар
ceràmica	керамика
àrab	арабски
frederic	фредерик
receptes	рецепти
1893	1893
frase	фраза
wiki	вики
humà	човешки
automòbils	автомобили
professió	професия
capella	капела
interessants	интересни
nostre	наш
educatiu	образователен
èxit	успех
diürna	дневна
internacional	международен
monjos	монаси
pare	баща
discussió	дискусия
endavant	напред
escut	щит
pi	пи
estranger	чужденец
terrassa	тераса
església	църква
