если	if
канон	canon
inde	inde
цвета	couleurs
лувр	louvre
дамы	dames
кольцо	anneau
квадрат	carré
carl	carl
диджей	dj
первичная	primaire
путешествия	voyages
the	the
кореец	coréen
содержит	contient
международные	internationales
либеральный	libéral
региональные	régionales
нормандия	normandie
высокий	haut
восстановить	rétablir
мадам	madame
знать	savoir
оао	оао
биология	biologie
период	period
атаковать	attaquer
заменённый	remplacé
коллега	collègue
дополнить	compléter
молоко	lait
naturelle	naturelle
brian	brian
характеристика	caractéristique
бавария	bavaria
корабль	navire
политик	politicien
владеет	possède
ориентация	orientation
искать	chercher
государство	état
происходящий	provenant
потребление	consommation
упразднен	supprimé
цифровой	numérique
ноябрь	novembre
трудный	difficile
визит	visite
кавалерия	cavalerie
пехота	infanterie
жёлтый	jaune
короткая	courte
герцеговина	herzégovine
греки	grecs
псевдоним	pseudonyme
cn	cn
партнер	partenaire
иванов	ivanov
алиса	alice
эмблема	emblème
электричество	électricité
календарь	calendrier
алан	alan
сцены	scènes
интерьер	intérieur
продажа	vente
россия	russie
одиннадцать	onze
переведенный	traduit
невозможно	impossible
ошибка	erreur
здоровье	santé
советники	conseillers
портрет	portrait
cf	cf
снаружи	dehors
индеец	indien
версаль	versailles
тибет	tibet
кварталы	quartiers
прыжок	saut
мотивы	motifs
рынок	marché
личности	personnalités
официально	officiellement
мастерская	atelier
флоренция	florence
хан	khan
движение	mouvement
frank	frank
кафедра	cathedra
линии	lignes
царь	tsar
аэропорт	aéroport
png	png
награды	récompenses
паломар	palomar
ботаника	botanique
колонии	colonies
лицей	lycée
пикардия	picardie
синдикат	syndicat
гипотеза	hypothèse
практика	pratique
феррари	ferrari
претензии	prétentions
требования	exigences
мужской	masculin
кампус	campus
возможность	possibilité
завещание	testament
условие	condition
иванович	ivanovitch
умеренно	modérément
документация	documentation
степанович	stepanovitch
жорж	georges
издатель	éditeur
цепи	chaînes
деноминация	dénomination
природа	nature
ревю	revue
николаевна	nikolaïevna
интересы	intérêts
работник	travailleur
org/w/index	org/w/index
теннис	tennis
фм	fm
otto	otto
окно	fenêtre
константин	constantin
кирилл	cyrille
предложение	proposition
взрослый	adulte
диплом	diplôme
природный	naturel
алекс	alex
комплексы	complexes
usa	usa
немцы	allemands
касса	caisse
обвинения	accusations
блог	blog
влади́мир	vladimir
добавленный	ajouté
маршан	marchand
финансирование	financement
растение	plante
модель	modèle
quality	qualité
увеличить	augmenter
идентификатор	identifiant
атака	attaque
формат	format
корпорация	corporation
балет	ballet
битва	bataille
организмы	organismes
parents	parents
ежегодно	annuellement
судебный	judiciaire
носить	porter
школа	école
villeneuve	villeneuve
планы	plans
всегда	toujours
лаврентий	laurent
океан	océan
амстердам	amsterdam
люксембург	luxembourg
сенатор	sénateur
томас	thomas
теория	théorie
ютуб	youtube
русский	russe
программы	programmes
адаптация	adaptation
игры	jeux
carlo	carlo
лионский	lyonnais
артур	arthur
губернатор	gouverneur
доверие	confiance
архипелаг	archipel
посол	ambassadeur
solo	solo
методы	méthodes
электронный	électronique
экземпляры	exemplaires
сердце	cœur
секунды	secondes
мельницы	moulins
прийти	venir
султан	sultan
домен	domaine
организации	organisations
gorod	ville
кандидаты	candidats
гостиница	hôtel
illustrious	illustre
форт	fort
операции	opérations
столицы	capitales
легенда	légende
эдуард	édouard
доктрина	doctrine
техника	technique
поляк	polonais
джованни	giovanni
архивы	archives
dvd	dvd
цитировать	citer
брюссель	bruxelles
музыкальный	musical
обсерватория	observatoire
описание	description
коммуна	commune
иконы	icônes
демократ	démocrate
переименовать	renommer
сентябрь	septembre
нормальная	normale
кампания	campagne
смерть	mort
noblesse	noblesse
праздники	fêtes
souvenirs	souvenirs
мало	malo
ты	tu
russell	russell
венгерский	hongrois
лауреаты	lauréats
эпизоды	épisodes
дракон	dragon
знания	connaissances
обвиняемый	accusé
стол	table
популярность	popularité
музыка	musique
греческий	grec
орлеан	orléans
раненые	blessés
религиозный	religieux
эффективность	efficacité
москва	moscou
толкование	interprétation
текущий	courant
избегать	éviter
поверхность	surface
длинный	long
мертвые	morts
вдохновлен	inspiré
автор	auteur
возвращаться	revenir
каждая	chacune
одежда	vêtements
птица	oiseau
мода	mode
авторитеты	autorités
страсбург	strasbourg
должны	doivent
офицер	officier
советский	sovietique
атлет	athlète
представленный	présenté
акцент	accent
корреспондент	correspondant
борьба	lutte
арбитраж	arbitrage
принимать	accepter
ответы	réponses
декорация	décoration
интегрированный	intégré
создать	créer
близкие	proches
