undecided	unentschieden
medals	medaillen
cooperation	zusammenarbeit
sankt	sankt
player	spieler
salzburg	salzburg
societies	gesellschaften
mile	meile
cats	katzen
unbeknownst	unbekannt
psychology	psychologie
instead	stattdessen
ips	ips
typical	typisch
ladies	damen
jacques	jacques
cavalry	kavallerie
meyer	meyer
direction	richtungsangabe
linz	linz
reste	reste
bronze	bronze
yesterday	gestern
abteilung	abteilung
oklahoma	oklahoma
deck	deck
variants	varianten
tank	panzer
oldenburg	oldenburg
cause	ursache
delaware	delaware
guidelines	richtlinien
fulda	fulda
actor	schauspieler
conditions	bedingungen
together	zusammen
austrian	österreichisch
lordship	herrschaft
profile	profil
chemistry	chemie
harvey	harvey
assistant	assistent
density	dichte
counties	landkreise
effective	effektiv
zog	zog
participation	beteiligung
städtische	städtische
asking	asking
commercial	kommerziell
attentive	aufmerksam
münchner	münchner
rock	fels
cologne	köln
adequate	ausreichend
um	um
familiar	vertraut
visit	besuch
admiral	admiral
behaviour	verhalten
indoor	indoor
conference	konferenz
abbreviation	abkürzung
realised	realisiert
facts	tatsachen
jacob	jacob
friends	freunde
observed	beobachtet
round	runde
frankfurter	frankfurter
increase	zunahme
principally	hauptsächlich
equivalent	äquivalent
idaho	idaho
inspired	inspiriert
painter	maler
vehicle	fahrzeug
darmstadt	darmstadt
hauptmann	hauptmann
various	verschiedene
operations	operationen
influences	einflüsse
google	google
colors	farben
festival	festival
wand	wand
perspective	perspektive
happens	geschieht
center	zentrum
russell	russell
uns	uns
wars	kriege
resigned	resigniert
gap	lücke
activist	aktivist
eddie	eddie
anti	anti
ireland	irland
victory	sieg
british	britisch
decided	entschieden
pittsburgh	pittsburgh
kick	kick
url	url
bar	bar
key	schlüssel
organic	organisch
dargestellt	dargestellt
lawrence	lawrence
plant	pflanze
festivals	festivals
communities	gemeinschaften
made	gemacht
convention	konvention
relevant	relevant
peer	peer
philippe	philippe
debut	debut
portrayed	porträtiert
posted	gepostet
singh	singh
investigations	untersuchungen
rooster	hahn
mache	mache
uprising	aufstand
page	seite
kreis	kreis
front	vorderseite
davor	davor
friendly	freundlich
exit	ausgang
individual	individuum
minutes	minuten
diamond	diamant
asia	asien
old	alt
mechanical	mechanisch
answer	antwort
cricket	cricket
straight	gerade
gas	gas
ottoman	ottoman
platform	plattform
joint	gelenk
hindi	hindi
earth	erde
industrial	industriell
mediterranean	mediterran
automatic	automatik
manfred	manfred
chamber	kammer
walther	walther
university	universität
world,	welt
poster	plakat
volunteer	freiwilliger
letter	buchstabe
physicist	physiker
interaction	interaktion
naturally	natürlich
westphalia	westfalen
six	sechs
colonial	kolonial
supporting	unterstützend
establishment	establishment
english	englisch
beijing	beijing
todd	todd
sitting	sitzung
nachweis	nachweis
regensburg	regensburg
league	liga
sciences	wissenschaften
prefecture	präfektur
virtual	virtuell
said	gesagt
ideas	ideen
painted	gemalt
andrea	andrea
racial	rassisch
comprehensive	umfassend
slovakia	slowakei
april	april
dam	talsperre
server	server
aufstieg	aufstieg
ontario	ontario
net	netz
uefa	uefa
irish	irisch
arena	arena
trier	trier
team	team
arrondissement	arrondissement
lays	legt
reason	vernunft
height	höhe
freiburg	freiburg
august	august
holstein	holstein
iraq	irak
ps	ps
better	besser
stretches	strecken
channels	kanäle
absolute	absolut
alan	alan
hoher	hoher
heim	home
girl	mädchen
switzerland	schweiz
retirement	ruhestand
adolf	adolf
very	sehr
trinity	dreifaltigkeit
reaction	reaktion
satellite	satellit
cathedral	kathedrale
inclusion	inklusion
should	sollte
gustav	gustav
thoughts	gedanken
johanna	johanna
reform	reform
monday	montag
blue	blau
consensus	konsens
catholic	katholisch
svg	svg
sold	verkauft
weather	wetter
wikiproject	wikiprojekt
seed	saatgut
ddr	ddr
latino	latino
jay	jay
silesia	schlesien
many	viele
spent	verbracht
dna	dna
ivan	ivan
arthur	arthur
possibilities	möglichkeiten
pokal	pokal
cincinnati	cincinnati
asteroid	asteroid
dramatic	dramatisch
autumn	herbst
several	several
gauge	gauge
anhalt	anhalt
alberta	alberta
three	drei
bis	bis
alternative	alternativ
miami	miami
southeasterly	südöstlich
courts	gerichtshöfe
those	diejenigen
soviet	sowjet
texas	texas
bremen	bremen
growth	wachstum
concretely	konkret
special	speziell
losses	verluste
mars	mars
last	letzter
annually	jährlich
loud	laut
aufbau	aufbau
wilhelm	wilhelm
trio	trio
application	bewerbung
symphony	symphonie
storm	sturm
documented	dokumentiert
leftover	übrig
lewis	lewis
fred	fred
california	kalifornien
baron	baron
hg	hg
action	aktion
kentucky	kentucky
azerbaijan	azerbaijan
rhythm	rhythmus
mathematics	mathematik
gregor	gregor
mannheim	mannheim
wind	wind
production	produktion
paar	paar
criteria	kriterien
disney	disney
peace	frieden
youngest	jüngster
franz	franz
kommando	kommando
duke	herzog
heir	erbe
lgbt	lgbt
baltimore	baltimore
euro	euro
sharp	scharf
steady	ständig
palace	palast
eagle	adler
improved	verbessert
negotiations	verhandlungen
palatinate	pfalz
istanbul	istanbul
appeal	appell
graham	graham
yale	yale
favorite	favorit
therapy	therapie
former	former
atlantic	atlantisch
lawyers	rechtsanwälte
altes	altes
journalist	journalist
tunnel	tunnel
bob	bob
system	system
phoenix	phönix
right	rechts
weil	weil
kilometer	kilometer
peninsula	halbinsel
entertainment	unterhaltung
usa	usa
conferred	verliehen
rhine	rhein
manchester	manchester
crisis	krisis
hawaii	hawaii
datum	datum
louise	louise
remembrance	erinnerung
wayne	wayne
katharina	katharina
nomination	nominierung
naja	naja
connection	verbindung
comedy	komödie
expression	ausdruck
ring	ring
wiener	wiener
federal	bundesrepublik
turin	turin
match	match
stripe	streifen
ab	ab
hermann	hermann
impossible	unmöglich
mathematician	mathematiker
archiving	archivierung
remote	fernbedienung
rector	rektor
voice	stimme
regulated	geregelt
saxony	sachsen
massive	massiv
february	februar
hands	hände
anxiety	angst
no	nein
habitat	habitat
quarterfinals	viertelfinale
turnover	umsatz
religion	religion
gallery	galerie
neighborhood	nachbarschaft
flat	flat
biology	biologie
heights	höhen
dog	hund
manhattan	manhattan
briefs	briefe
settlement	ansiedlung
regie	regie
management	management
manufacturer	hersteller
valid	gültig
products	produkte
killed,	getötet
atlas	atlas
fly	fliege
connecticut	connecticut
semifinal	halbfinale
province	provinz
head	kopf
hand	hand
instruments	instrumente
nelson	nelson
bielefeld	bielefeld
schwarz	schwarz
him	ihn
experiences	erlebnisse
interests	interessen
edits	edits
agriculture	landwirtschaft
rfc	rfc
devastation	zerstörung
anna	anna
presentation	präsentation
ski	ski
chain	kette
gone	gegangen
change	veränderung
door	tür
people,	volk
overworked	überarbeitet
depictions	darstellungen
caribbean	karibik
cable	kabel
established	etabliert
byzantine	byzantinisch
nearly	nearly
presidents	präsidenten
luxembourg	luxemburg
oak	eiche
htm	htm
volleyball	volleyball
photo	foto
tennis	tennis
sophie	sophie
sunday	sonntag
tower	turm
gross	gross
mach	mach
union	union
entries	einträge
including	einschließlich
announced	angekündigt
books	bücher
dennis	dennis
inappropriate	unangemessen
clan	clan
gottfried	gottfried
bristol	bristol
schlechter	schlechter
suspended	suspended
status	status
opponent	gegner
blocks	blöcke
period	periode
record	rekord
thuringia	thüringen
williams	williams
weimar	weimar
gerät	gerät
chinese	chinesisch
centimetre	zentimeter
eight	acht
bishops	bischöfe
registered	eingetragen
interface	schnittstelle
held	gehalten
instructions	anweisungen
way,	weg
runs	läuft
singapore	singapur
armenian	armenisch
childhood	kindheit
qualification	qualifikation
literary	literarisch
mini	mini
kent	kent
interstate	interstate
oakland	oakland
morning	morgen
comments	kommentare
vietnam	vietnam
facility	facility
political	politisch
menge	menge
possession	besitz
lemma	lemma
stem	stamm
capital	kapital
harold	harold
kingdom	königreich
animation	animation
dieter	dieter
parameter	parameter
charter	charter
schneider	schneider
been	been
kader	kader
heidelberg	heidelberg
foundations	grundlagen
wished	gewünscht
alliance	allianz
horst	horst
hook	haken
virginia	virginia
detailed	detailliert
synagogue	synagoge
book	buch
physics	physik
cellar	keller
wild	wild
printed	gedruckt
daughters	töchter
delta	delta
senate	senat
institute	institut
fiction	fiktion
eastern	östlich
northeasterly	nordöstlich
competition	konkurrenz
jackson	jackson
deal	deal
independence	unabhängigkeit
id	id
romanian	rumänisch
tour	tour
neckar	neckar
yellow	gelb
cinema	kino
personal	persönlich
ministry	ministerium
america	amerika
myself	myself
harry	harry
theater	theater
poet	dichter
modified	modifiziert
either	entweder
user	benutzer
adaptation	anpassung
parallel	parallele
planning	planung
montana	montana
millimetre	millimeter
things	dinge
controlled	kontrolliert
changes	veränderungen
withdrawn	zurückgezogen
hurricane	hurrikan
miller	müller
airplanes	flugzeuge
secondary	sekundär
depression	depression
internationaler	internationaler
pitcher	pitcher
jurist	jurist
chairwoman	vorsitzende
armed	bewaffnet
hotel	hotel
sixth	sechst
joan	joan
bundesliga	bundesliga
laboratory	laboratorium
hell	hölle
opening	eröffnung
jg	jg
carinthia	kärnten
water	wasser
london	london
sale	verkauf
primary	primär
gabriel	gabriel
master	meister
interest	interesse
budapest	budapest
broken	gebrochen
unusual	ungewöhnlich
calendar	kalender
forbidden	verboten
douglas	douglas
weak	schwach
tut	tut
neutral	neutral
croatian	kroatisch
praxis	praxis
perfect	perfekt
conservative	konservativ
archived	archiviert
allgemeinen	allgemeinen
carolina	carolina
clock	uhr
paderborn	paderborn
bist	bist
mitteleuropa	mitteleuropa
wilson	wilson
title	titel
donald	donald
lee	lee
bat	fledermaus
popularity	beliebtheit
bass	bass
mixed	gemischt
ruin	ruine
milwaukee	milwaukee
energy	energie
dame	dame
press	presse
formerly	vormals
temporary	vorübergehend
delivered	geliefert
sony	sony
ambassador	botschafter
stuttgart	stuttgart
activities	aktivitäten
toward	toward
thousand	tausend
women	frauen
paulo	paulo
greetings	grüße
delhi	delhi
sg	sg
genera	gattungen
these	diese
experienced	erlebt
paper	papier
tool	werkzeug
mechanism	mechanismus
bands	bands
present	präsent
kelly	kelly
competitors	konkurrenten
concept	konzept
anders	anders
successes	erfolge
arabic	arabisch
tree	baum
congress	kongreß
sector	sektor
where	wohin
cambridge	cambridge
offered	angeboten
philipp	philipp
individuals	individuen
bernhard	bernhard
consistent	konsistent
district	bezirk
miles	meilen
königsberg	königsberg
schönen	schönen
hungarian	ungarisch
movement	bewegung
restoration	wiederherstellung
ceremony	zeremonie
illinois	illinois
finnish	finnisch
reports	berichte
colorado	colorado
handbook	handbuch
beziehung	beziehung
japanese	japanisch
blogspot	blogspot
oper	oper
good	gut
simultaneously	gleichzeitig
hamburger	hamburger
ice	eis
lisa	lisa
philip	philip
database	datenbank
graphic	graphisch
evans	evans
antonio	antonio
phillips	phillips
david	david
queen	königin
sword	schwert
administration	verwaltung
obama	obama
condition	bedingung
contrast	kontrast
reformation	reformation
somerset	somerset
kaiser	kaiser
englische	englische
são	são
diesel	dieselmotor
günther	günther
places	plätze
victoria	victoria
character	charakter
hospitals	krankenhäuser
pain	schmerz
daher	daher
frank	frank
creation	schöpfung
lust	lust
sydney	sydney
western	westlich
so	so
principle	grundsatz
vs	vs
jürgen	jürgen
climate	klima
next	nächste
personality	persönlichkeit
clemens	clemens
zone	zone
metal	metall
israeli	israelisch
frankfurt	frankfurt
pseudonym	pseudonym
contributions	beiträge
erik	erik
substantial	substantiell
fishing	fischfang
schleswig	schleswig
controversial	controversial
function	funktion
princess	prinzessin
harvard	harvard
ocean	ozean
wounded	verwundet
walker	spaziergänger
forty	vierzig
city	stadt
applied	angewandt
mines	minen
our	unser
wellington	wellington
koblenz	koblenz
cost	kosten
gardens	gärten
available	verfügbar
tigers	tigers
illustrated	illustriert
stone	stein
übersetzung	übersetzung
wood	holz
artillery	artillerie
civilian	zivilist
sarah	sarah
stanley	stanley
default	default
combined	kombiniert
willy	willy
brief	brief
carbon	kohlenstoff
religious	religiös
fix	fix
metropolitan	metropolitan
michel	michel
stars	sterne
rifle	gewehr
ansatz	ansatz
decade	jahrzehnt
records	rekorde
painting	malerei
concerning	concerning
khan	khan
maurice	maurice
portugal	portugal
dollar	dollar
flight	flucht
regularly	regelmäßig
court	gerichtshof
ferry	fähre
december	dezember
cat	katze
werner	werner
editors	redakteure
details	details
wolfgang	wolfgang
anne	anne
jpg	jpg
ukraine	ukraine
quasi	quasi
diego	diego
product	produkt
themes	themen
midpoint	mittelpunkt
governor	gouverneur
reed	schilf
return	rückkehr
when	wann
nothing	nichts
billion	milliarde
perception	wahrnehmung
orthodox	orthodox
diocese	diözese
number	nummer
characters	charaktere
berkeley	berkeley
daughter	tochter
analysis	analyse
kleiner	kleiner
airplane	flugzeug
southern	südlich
laura	laura
actress	schauspielerin
belgian	belgisch
photographer	photographer
credit	kredit
situated	situiert
parliamentary	parlamentarisch
nonetheless	dennoch
erich	erich
amsterdam	amsterdam
conventional	konventionell
operation	operation
dakota	dakota
abbot	abt
responsibility	verantwortung
through	durch
calculated	berechnet
journals	journals
promoted	befördert
internationales	internationales
subjects	subjects
theology	theologie
first	zuerst
software	software
norbert	norbert
professorship	professur
birth	geburt
tools	werkzeuge
leider	leider
names	namen
columbus	columbus
development	entwickelung
sugar	zucker
signal	signal
sexual	sexuell
heilbronn	heilbronn
sought	gesucht
venice	venedig
subdivided	unterteilt
synonym	synonym
credits	kredite
coal	steinkohle
territories	territorien
scale	skala
index	index
everyone,	jeder
mastership	meisterschaft
ordered	bestellt
wagon	wagen
bowling	bowling
normal	normal
experimental	experimentell
scientist	wissenschaftler
wikimedia	wikimedia
producers	produzenten
contacts	kontakte
england	england
school	schule
griechischen	griechischen
gottes	gottes
yearbook	jahrbuch
johann	johann
afghanistan	afghanistan
industry	industrie
ladder	leiter
joachim	joachim
youtube	youtube
sight	sicht
mirror	spiegel
hot	heiß
hc	hc
reinhard	reinhard
uncle	onkel
audience	publikum
cinemas	kinos
mercedes	mercedes
virus	virus
ludwig	ludwig
underneath	unten
switch	schalter
input	eingabe
defensive	defensiv
lp	lp
points	punkte
decisions	entscheidungen
kassel	kassel
year	jahr
cap	mütze
airport	flughafen
chicago	chicago
symbol	symbol
berlin	berlin
corner	ecke
alex	alex
lorenz	lorenz
opinions	meinungen
died	gestorben
voivodeship	woiwodschaft
wehrmacht	wehrmacht
novelist	romancier
autoconfirmed	autoconfirmed
elite	elite
licensed	lizenziert
socorro	socorro
regiment	regiment
practical	praktisch
recipient	empfänger
hoax	hoax
jason	jason
hour	stunde
manufacturers	manufacturers
drama	drama
premiere	premiere
glasgow	glasgow
joe	joe
clergyman	geistlicher
breaking	breaking
tradition	tradition
anglican	anglikanisch
bishop	bischof
doctor	doktor
verzeichnis	verzeichnis
victorian	victorian
avenue	avenue
range	reichweite
syria	syrien
classical	klassisch
westen	westen
breslau	breslau
catalogue	katalog
campaigns	kampagnen
fifty	fünfzig
watson	watson
we	wir
warning	warnung
factor	faktor
billy	billy
emergency	notfall
salt	salz
war	krieg
partnership	partnerschaft
rebellion	rebellion
entire	entire
siegfried	siegfried
modify	modifizieren
regions	regionen
style	stil
south	süden
soul	seele
accessible	zugänglich
recent	recent
henri	henri
job	job
pomerania	pommern
beer	bier
ballet	ballett
classification	klassifikation
suburb	vorort
appraisal	bewertung
eyeball	auge
unrestricted	unbeschränkt
murphy	murphy
fortress	festung
stanford	stanford
interested	interessiert
driver	fahrer
corporate	corporate
drummer	trommler
studies	studien
snow	schnee
electrical	elektrisch
accident	unfall
mythology	mythologie
hugh	hugh
tourist	tourist
fine	fein
film	film
text	text
singles	singles
wave	welle
bytes	bytes
lighter	leichter
pop	popmusik
entstehung	entstehung
grafschaft	grafschaft
wales	wales
detail	detail
quantum	quantum
flood	flut
applications	anträge
outstanding	hervorragend
aspects	aspekte
entrepreneur	unternehmer
conflicts	konflikte
positive	positiv
frederick	frederick
