schlug	colpì
organisationen	organizzazioni
eintragung	iscrizione
präzision	precisione
negativ	negativo
präsident	presidente
edits	edits
herz	cuore
augsburg	augsburg
form	forma
führer	führer
fotografie	fotografia
vorbereitung	preparazione
nichts	niente
formen	formare
guido	guido
neunzig	novanta
cdu	cdu
mönche	monaci
kongregation	congregazione
triest	trieste
geregelt	regolato
turin	torino
lorena	lorena
milanese	milanese
anderes	altro
finlandia	finlandia
königin	regina
klub	club
kalender	calendario
legion	legione
marmor	marmo
margherita	margherita
fdp	fdp
häufig	frequente
differenzen	differenze
königsberg	königsberg
produktion	produzione
dichter	poeta
lungo	lungo
gelungen	riuscito
statistisch	statistico
panorama	panorama
abgeordneter	deputato
hügel	collina
stück	pezzo
fehler	errore
interpreten	interpreti
rocca	rocca
fällen	cadere
riccardo	riccardo
archiv	archivio
wollten	volevano
rostock	rostock
ettore	ettore
teresa	teresa
beschuldigt	accusato
california	california
nicht	non
pläne	piani
ordnung	ordine
halbkugel	emisfero
scheinen	sembrare
☎	☎
säure	acido
ehrlich	onesto
alfa	alfa
idee	idea
freitag	venerdì
internationale	internazionale
journalist	giornalista
erscheinen	apparire
byte	byte
objektiv	obiettivo
dollar	dollaro
zyklus	ciclo
anfangen	iniziare
klinik	clinica
präsentation	presentazione
äquivalent	equivalente
hoffmann	hoffmann
töchter	figlie
glauben	credere
virus	virus
südamerika	sudamerica
reggio	reggio
arbeit	lavoro
mannheim	mannheim
komponist	compositore
krise	crisi
wiederherstellung	ripristino
argentinisch	argentino
moderni	moderni
philippinen	filippine
erzählungen	racconti
büros	uffici
jugend	gioventù
drei	tre
kriterium	criterio
schaden	danno
pasquale	pasquale
kopenhagen	copenaghen
entdecker	esploratore
stimme	voce
testament	testamento
friaul	friuli
komponente	componente
kongreß	congresso
teilnehmer	partecipante
dein	tuo
produzieren	produrre
giancarlo	giancarlo
antichi	antichi
pronto	pronto
tela	tela
schule	scuola
ecco	ecco
zeiten	zeiten
gelegenheit	occasione
domäne	dominio
rolf	rolfo
ducato	ducato
johnny	johnny
gedanken	pensieri
feind	nemico
beziehung	relazione
groß	grande
leer	vuoto
getroffen	colpito
diego	diego
matthäus	matteo
kennenlernen	conoscere
mittelfeldspieler	centrocampista
kapelle	cappella
alice	alice
energie	energia
punktzahl	punteggio
manchester	manchester
alfredo	alfredo
lecce	lecce
spuren	tracce
besonderer	besonderer
mandat	mandato
verschiebung	spostamento
erklären	spiegare
familiär	familiare
institutionen	istituzioni
marschall	maresciallo
anwendung	applicazione
schreiber	scrittore
bewerten	valutare
nur	nur
eroberung	conquista
arbeiter	lavoratore
datiert	datato
vision	visione
emma	emma
eintreten	entrare
durante	durante
durchbruch	sfondamento
schön	bello
cori	cori
texas	texas
fotograf	fotografo
gordon	gordon
dörfer	villaggi
industriell	industriale
daten	dati
wissenschaftler	scienziato
richter	giudice
·	·
mailand	milano
soldaten	soldati
wir	noi
tätigkeit	attività
monaco	monaco
vorwiegend	prevalentemente
traktat	trattato
miniserie	miniserie
partizipieren	partecipare
liga	lega
räder	ruote
israel	israele
einheit	unità
schlag	colpo
ausschliesslich	esclusivamente
minister	ministro
fossilien	fossili
°c	°c
quelle	sorgente
pakt	patto
eliminieren	eliminare
verteidigen	difendere
arriva	arriva
ausführen	eseguire
regisseur	regista
tage	giorni
akademisch	accademico
rapper	rapper
parlament	parlamento
analyse	analisi
verfolgt	inseguito
infanterie	fanteria
adelig	nobile
formulierung	formulazione
genre	genere
libretto	libretto
signal	segnale
flucht	fuga
taranto	taranto
geliebt	amato
martina	martina
kelly	kelly
drache	drago
philipp	filippo
komitee	comitato
qualität	qualità
spiele	giochi
endet	finisce
begraben	seppellito
vaterland	patria
formationen	formazioni
schlesien	slesia
freundschaft	amicizia
oratorium	oratorio
minima	minima
edoardo	edoardo
hände	mani
fertig	finito
verheiratet	sposato
realisieren	realizzare
sport	sport
ausstellungen	esposizioni
württemberg	württemberg
freunde	amici
historikerin	storica
russi	russi
moskau	moscovia
bekannt	conosciuto
geschlagen	sconfitto
unternehmer	imprenditore
wahrnehmung	percezione
nachrichten	notizie
gesehen	visto
historisch	storico
publikum	pubblico
sicherheit	sicurezza
indianerin	indiana
breve	breve
normen	norme
platin	platino
mathematiker	matematico
bergamo	bergamo
album	album
piste	pista
verhaftet	arrestato
qualifikationen	qualificazioni
korrespondent	corrispondente
nacht	notte
archäologie	archeologia
latina	latina
auflage	auflage
bataillon	battaglione
klang	suono
ralph	ralph
tradition	tradizione
wickets	wickets
erworben	acquisito
besser	meglio
geweiht	consacrato
minderjährig	minore
jahr	anno
konkurrenz	concorrenza
rosa	rosa
republik	repubblica
oktober	ottobre
iata	iata
stare	stare
alles	tutto
pfarrei	parrocchia
gefahr	pericolo
ab	ab
lyceum	liceo
baron	barone
er	er
abgelehnt	rifiutato
korrespondenz	corrispondenza
abteilung	reparto
volleyball	pallavolo
mussolini	mussolini
kabinett	gabinetto
basis	basis
sexuell	sessuale
fürst	principe
angestellter	impiegato
initiale	iniziale
animation	animazione
farben	colori
souveränen	sovrani
interesse	interesse
elena	elena
bild	immagine
portugal	portogallo
verhandlungen	trattative
geburtstag	compleanno
konföderation	confederazione
behandlung	trattamento
bibel	bibbia
akkord	accordo
lieder	canzoni
katze	gatto
endlich	infine
dorf	villaggio
konstanz	costanza
puglia	puglia
sia	sia
sprechen	parlare
informationen	informazioni
architekt	architetto
sportiv	sportivo
auge	occhio
verpflichtung	impegno
mariano	mariano
mexikaner	messicano
empfangen	ricevere
informiert	informato
warschau	varsavia
letzter	ultimo
eingang	ingresso
meer	mare
klassifiziert	classificato
soldat	soldato
heiratete	sposò
klassisch	classico
kommissar	commissario
tempel	tempio
duisburg	duisburg
pisa	pisa
über	über
akkorde	accordi
gas	gas
glücklich	felice
istanbul	istanbul
enorme	enorme
jazz	jazz
grundlegende	fondamentale
targa	targa
pfarrer	parroco
katholisch	cattolico
grundstücke	terreni
demokratie	democrazia
bernhard	bernardo
sterben	morire
freundin	amica
integration	integrazione
überprüfen	verificare
wert	valore
herbert	herbert
rückzug	ritirata
zweiter	secondo
veröffentlichung	pubblicazione
naja	naja
handbuch	manuale
stärke	forza
jesus	gesù
uefa	uefa
ohio	ohio
gelegentlich	occasionalmente
benutzen	utilizzare
donau	danubio
fünfte	quinta
sebastian	sebastiano
anpassung	adattamento
mitbegründer	cofondatore
paradies	paradiso
täler	valli
argument	argomento
physikalisch	fisico
allianz	alleanza
gewebe	tessuto
giorgio	giorgio
innsbruck	innsbruck
ddr	ddr
charaktere	caratteri
sarah	sarah
steine	pietre
besitzen	possedere
britannica	britannica
santiago	santiago
nationalsozialisten	nazionalsocialisti
achill	achille
beschrieben	descritto
wahrheit	verità
ankommen	arrivare
faschist	fascista
portion	porzione
tausch	scambio
unterscheiden	distingue
temporale	temporale
weimarer	weimarer
nhl	nhl
stellungen	posizioni
kapitän	capitano
nelson	nelson
sozialistisch	socialista
präfektur	prefettura
ecc	ecc
syndrom	sindrome
reduzieren	ridurre
koalition	coalizione
wissenschaften	scienze
herren	signori
aufstieg	aufstieg
→	→
leonardo	leonardo
aachen	aquisgrana
zweite	seconda
entdeckt	scoperto
register	registro
beenden	finire
marsch	marcia
gesundheit	salute
jahrzehnt	decennio
nord	nord
gewonnen	vinto
sardinien	sardegna
jerusalem	gerusalemme
albanisch	albanese
thüringen	turingia
nobilität	nobiltà
dänisch	danese
probleme	problemi
reform	riforma
sätze	frasi
vincenzo	vincenzo
pseudonym	pseudonimo
wörtlich	letteralmente
gefallenen	caduti
drehung	rotazione
vergleichbar	comparabile
gelöst	sciolto
generation	generazione
ursula	ursula
genau	esatto
martin	martino
blues	blues
hängen	impiccare
werbung	pubblicità
kämpfen	combattere
www	www
jetzt	adesso
roberto	roberto
brauerei	birrificio
rd	rd
mantua	mantova
zerstört	distrutto
entität	entità
unabhängigkeit	indipendenza
vormundschaft	tutela
blau	blu
fresko	affresco
gewidmet	dedicato
klavier	pianoforte
kalabrien	calabria
realisiert	realizzato
samuel	samuel
vai	vai
co	co
napoleon	napoleone
reaktion	reazione
unterstützung	sostegno
aka	aka
marco	marco
helfen	aiutare
zugang	accesso
metropolitana	metropolitana
budapest	budapest
ökonomisch	economico
laufen	correre
bmw	bmw
athleten	atleti
giulio	giulio
entworfen	progettato
super	super
savoyen	savoia
bewohnt	abitato
patient	paziente
amsterdam	amsterdam
jäger	cacciatore
griechenland	grecia
ruine	rovina
flügel	ala
gentile	gentile
gesagt	detto
eingeführt	introdotto
literarisch	letterario
liefert	fornisce
microsoft	microsoft
detektiv	detective
florida	florida
fabrik	fabbrica
künstlerisch	artistico
geschlecht	sesso
gesicht	faccia
warten	aspettare
hypothese	ipotesi
kritiker	critico
bord	bordo
onkel	zio
lateinisch	latino
luisa	luisa
tochter	figlia
gefängnis	carcere
soziologie	sociologia
kontrollieren	controllare
zugeschrieben	attribuito
horn	corno
verbreitung	diffusione
newton	newton
assistent	assistente
rivale	rivale
geheimnisse	segreti
rauch	fumo
darmstadt	darmstadt
subjekt	soggetto
repräsentation	rappresentazione
linear	linear
erdbeben	terremoto
osnabrück	osnabrück
verboten	vietato
interessiert	interessato
gleichzeitig	simultaneamente
wasser	acqua
irisch	irlandese
ferrovia	ferrovia
argumentation	argomentazione
und/oder	e/o
verlängerung	prolungamento
gießen	gettare
west	ovest
villa	villa
zivilisation	civiltà
turniere	tornei
dj	dj
notwendig	necessario
gianfranco	gianfranco
psychologie	psicologia
phänomen	fenomeno
ancona	ancona
ursache	causa
wikipedia	wikipedia
schottland	scozia
tanto	tanto
übertragung	trasmissione
größe	grandezza
schaufenster	vetrina
treu	fedele
maria	maria
ufer	riva
monika	monica
ita	ita
botswana	botswana
flughafen	aeroporto
umlaufbahn	orbita
boston	boston
gabriele	gabriele
feat	feat
mai	maggio
mba	mba
alessandria	alessandria
blick	sguardo
vittorio	vittorio
continuo	continuo
unbekannt	sconosciuto
wörter	parole
maschinen	macchine
münchner	münchner
ideal	ideale
wüste	deserto
biografie	biografia
migliore	migliore
entwickelung	sviluppo
künstler	artista
günther	günther
ton	tono
existiert	esiste
film	film
vermeiden	evitare
journalisten	giornalisti
politisch	politico
sto	sto
sla	sla
pferde	cavalli
episode	episodio
insekten	insetti
angst	angoscia
morgen	mattino
wisconsin	wisconsin
zukunft	futuro
trama	trama
quasi	quasi
stirbt	muore
opposition	opposizione
schaffen	creare
märz	marzo
residenz	residenza
regionen	regioni
passagiere	passeggeri
braun	bruno
#f	#f
argentinien	argentina
thermen	terme
feld	campo
gouverneur	governatore
rugbyspieler	rugbista
goethe	goethe
zustimmung	assenso
lombardisch	lombardo
seiten	pagine
jeff	jeff
methode	metodo
potenzial	potenziale
nulla	nulla
ekliptik	eclittica
zusammen	insieme
sprachen	lingue
söhne	figli
komponisten	compositori
sicherlich	sicuramente
angreifen	attaccare
kardinal	cardinale
löwen	leoni
niemand	nessuno
abt	abate
ep	ep
madrid	madrid
instrument	strumento
regiment	reggimento
zerstörung	distruzione
nächster	prossimo
mitteleuropa	mitteleuropa
zugänglich	accessibile
datum	dato
fuchs	volpe
kapazität	capacità
australier	australiano
kette	catena
zeremonie	cerimonia
hp	hp
mission	missione
identisch	identico
ron	ron
männlich	maschile
entfernen	rimuovere
verarbeitung	elaborazione
jüdisch	ebraico
stellung	posizione
anerkennungen	riconoscimenti
altar	altare
eins	uno
gegner	avversario
verurteilung	condanna
saison	stagione
knoten	nodo
moderna	moderna
nachbarn	vicini
siegerin	vincitrice
mühle	mulino
heiliger	santo
oper	opera
habitat	habitat
großvater	nonno
zürich	zurigo
aufgewachsen	cresciuto
staffel	squadriglia
erinnern	ricordare
engel	angelo
minimum	minimo
waffen	armi
franken	franken
verurteilt	condannato
herausforderung	sfida
geographica	geografica
erbschaft	eredità
konservierung	conservazione
schutz	protezione
clark	clark
vergangenheit	passato
denkmäler	monumenti
züge	treni
anton	anton
bücher	libri
schleswig	schleswig
materie	materia
doktor	dottore
basilika	basilica
stunde	ora
konto	conto
recht	diritto
kommerziell	commerciale
imperiale	imperiale
kopf	testa
video	video
souverän	sovrano
bolzano	bolzano
venedig	venezia
admiral	ammiraglio
akzeptieren	accettare
operation	operazione
statistik	statistica
parameter	parametro
ensemble	ensamble
london	londra
buenos	buenos
manga	manga
ausgaben	spese
seele	anima
substanz	sostanza
kommen	venire
begonnen	cominciato
liste	elenco
douglas	douglas
sola	sola
palast	palazzo
kurse	corsi
kollektion	collezione
modell	modello
bogen	arco
figur	figura
individuell	individuale
wachstum	crescita
viertel	quartiere
anker	ancora
ralf	ralf
produzent	produttore
ehefrau	moglie
europa	europa
ix	ix
»	»
registrierung	registrazione
inneres	interno
achtzig	ottanta
tipi	tipi
malerei	pittura
brücke	ponte
medizin	medicina
bürger	cittadino
dach	tetto
bedürfnis	bisogno
abgrenzung	delimitazione
liebe	amore
reise	viaggio
getrennt	separato
nördlich	settentrionale
zentimeter	centimetro
ankunft	arrivo
erklärung	spiegazione
glas	vetro
küste	costa
struktur	struttura
id	id
holz	legno
essen	mangiare
erster	primo
rechts	destra
fest	festa
reservat	riserva
angebot	offerta
mode	moda
roger	roger
stuart	stuart
fünf	cinque
hintergrund	sfondo
verbrauch	consumo
entstehung	entstehung
bonus	bonus
kontrakt	contratto
produkte	prodotti
glied	membro
fünftes	quinto
bande	banda
detail	dettaglio
gefunden	trovato
peking	pechino
wald	bosco
gast	ospite
rektor	rettore
intention	intenzione
radio	radio
schicksal	destino
schwierig	difficile
profil	profilo
zentren	centri
einzig	unico
einschlag	impatto
göttlichkeit	divinità
weib	femmina
kodex	codice
varietät	varietà
zerstören	distruggere
repräsentieren	rappresentare
herzog	duca
freiheit	libertà
beherbergen	ospitare
pari	pari
federation	federazione
schnell	schnell
lucca	lucca
bischöfe	vescovi
relevanz	rilevanza
zählen	contare
benutzer	utente
fördern	promuovere
sultan	sultano
konferenz	convegno
flüssig	liquido
sorte	sorta
nutzlos	inutile
agenten	agenti
inhalt	contenuto
offiziell	ufficialmente
erobert	conquistato
adoptiert	adottato
kultur	cultura
jr	jr
wirklichkeit	realtà
gedanke	pensiero
teilweise	parzialmente
kräfte	forze
modifizieren	modificare
fähigkeit	abilità
heute	oggi
franchi	franchi
schiff	nave
immer	sempre
phase	fase
jg	jg
lernen	imparare
gelb	giallo
fabio	fabio
amerika	america
anwalt	avvocato
fassade	facciata
verwundet	ferito
seite	pagina
unabhängig	indipendente
kuriere	corriere
schmidt	schmidt
unesco	unesco
orgeln	organi
platz	piazza
livorno	livorno
funktion	funzione
hundert	cento
ossia	ossia
leser	lettore
maße	misure
musiker	musicista
spezifisch	specifico
anerkannt	riconosciuto
glorie	gloria
entscheidung	decisione
recent	recente
umgebung	umgebung
agentur	agenzia
offizier	ufficiale
verleger	editore
überschreiten	superare
bestätigung	conferma
florenz	firenze
konfiguration	configurazione
foto	foto
alberto	alberto
minnesota	minnesota
rumänien	romania
belgisch	belga
welcher	quale
kunst	arte
zwölf	dodici
visconti	visconti
bari	bari
beliebtheit	popolarità
kavalier	cavaliere
dezember	dicembre
ritus	rito
perugia	perugia
botschafter	ambasciatore
verkauft	venduto
chicago	chicago
klar	chiaro
kriterien	criteri
harvard	harvard
gespielt	giocato
exemplar	esemplare
ausstattung	allestimento
möglichkeit	possibilità
schließen	chiudere
null	nullo
kanada	canada
seminar	seminario
wahrscheinlich	probabilmente
kloster	monastero
piloten	piloti
carabinieri	carabinieri
kandidat	candidato
hieronymus	girolamo
untersuchung	indagine
studierende	studenti
lukas	luca
kurz	corto
dokumentiert	documentato
punkte	punti
post	posta
luftwaffe	luftwaffe
gedacht	pensato
kontakt	contatto
elisabetta	elisabetta
unmöglich	impossibile
wind	vento
eliminierung	eliminazione
,	,
gesetz	legge
gestalten	gestire
frau	signora
grotte	grotta
schutzhütte	rifugio
märtyrer	martire
dario	dario
park	parco
erweitert	ampliato
dietrich	dietrich
gelingen	riuscire
programm	programma
arabisch	arabo
nach	dopo
variabel	variabile
stufe	gradino
gemessen	misurato
einfügen	inserire
ehe	matrimonio
sozial	sociale
system	sistema
tastatur	tastiera
digital	digitale
spiegel	specchio
geplant	pianificato
rückwärts	indietro
nordöstlich	nordorientale
kreuz	croce
liedermacher	cantautore
terrestre	terrestre
gymnasium	ginnasio
inferiore	inferiore
daher	perciò
therapie	terapia
behauptung	affermazione
schauspielerin	attrice
herr	signore
alpin	alpino
dalle	dalle
entdecken	scoprire
messe	messa
zwanzig	venti
oxford	oxford
inspiriert	ispirato
raymond	raymond
guglielmo	guglielmo
tragen	portare
modi	modi
ludovico	ludovico
schuld	colpa
insel	isola
voll	pieno
ibn	ibn
städtische	städtische
schmerz	dolore
stamm	tronco
teufel	diavolo
https	https
wichtigkeit	importanza
hamburger	hamburger
schneider	sartore
gott	dio
teil	parte
rami	rami
referenz	riferimento
allo	allo
professor	professore
palermo	palermo
regelmäßig	regolarmente
entfernung	distanza
kinder	bambini
sehen	vedere
catania	catania
kevin	kevin
viale	viale
lassen	lasciare
kategorie	categoria
feinde	nemici
laurea	laurea
funktioniert	funziona
grün	verde
emilia	emilia
akteur	attore
medaillen	medaglie
daniel	daniel
halbfinale	semifinale
portugiesisch	portoghese
angepasst	adattato
modern	moderno
archäologisch	archeologico
spielend	giocando
roma	roma
mädchen	ragazza
bühne	palcoscenico
angriffsspieler	attaccante
streifen	striscia
posteriori	posteriori
imperium	impero
verlieren	perdere
farsi	farsi
verkauf	vendita
hafen	porto
gehört	appartiene
englisch	inglese
kommission	commissione
comic	fumetto
akteure	attori
publiziert	pubblicato
john	john
andererseits	altrimenti
bäume	alberi
kollege	collega
bezahlen	pagare
prinzessin	principessa
fürstentum	principato
isabella	isabella
austin	austin
sternbild	costellazione
eine	una
räume	spazi
normale	normale
front	fronte
denken	pensare
bestimmen	determinare
bleibt	rimane
turnier	torneo
haar	capelli
verlassen	abbandonare
kommando	kommando
künste	arti
erreichen	raggiungere
romeo	romeo
spektakel	spettacolo
sand	sabbia
dna	dna
löwe	leone
golf	golf
lösungen	soluzioni
territoriale	territoriale
trennung	separazione
mediterran	mediterraneo
vergessen	dimenticare
zunge	lingua
kalt	freddo
bianchi	bianchi
berg	montagna
gonzaga	gonzaga
juli	luglio
autoconfirmed	autoconfirmed
leipziger	leipziger
küche	cucina
missouri	missouri
irland	irlanda
statue	statua
rgb	rgb
kontinent	continente
marina	marina
theorie	teoria
student	studente
symbol	simbolo
ferrara	ferrara
°	°
strasse	strada
ergebnisse	risultati
beauftragt	incaricato
logik	logica
monza	monza
hessen	hessen
autoren	autori
